location_id,name,address,state,zip
1,Grass-roots logistical info-mediaries,74798 Marquette Place,Michigan,49444
2,Reduced national migration,0255 Sloan Alley,Washington,98417
3,Realigned multi-tasking capacity,1 Anzinger Court,North Carolina,27157
4,Managed eco-centric website,3 Sunbrook Terrace,Wisconsin,53716
5,Quality-focused directional archive,003 Bashford Place,Alaska,99517
6,Assimilated stable open architecture,7579 Blackbird Road,Illinois,60697
7,Multi-tiered intermediate collaboration,296 Garrison Lane,Texas,78759
8,Face to face global solution,65847 Truax Plaza,Florida,33064
9,Public-key holistic attitude,582 Vahlen Junction,Connecticut,06183
10,Reactive fresh-thinking neural-net,3355 Veith Park,District of Columbia,20337
11,Digitized 5th generation initiative,7786 Artisan Street,Tennessee,38188
12,Secured multi-state hardware,61819 Portage Lane,North Carolina,28235
13,Assimilated web-enabled customer loyalty,59457 Brown Crossing,Arizona,85260
14,Virtual fresh-thinking matrices,3143 Schurz Junction,Ohio,45228
15,Fundamental multi-tasking productivity,28583 Lakeland Parkway,California,92867
